url;alt;name
https://images.kabum.com.br/produtos/fotos/444038/monitor-gamer-lg-ultragear-27-full-hd-144hz-1ms-ips-hdmi-e-displayport-hdr-10-99-srgb-freesync-premium-vesa-27gn65r_1684763831_gg.jpg;Monitor Gamer LG UltraGear 27 Full HD;Monitor Gamer LG UltraGear 27 Full HD
https://images.kabum.com.br/produtos/fotos/461160/headset-gamer-hyperx-cloud-stinger-2-drivers-50mm-preto-519t1aa_1688580735_gg.jpg;Headset Gamer HyperX Cloud Stinger 2;Headset Gamer HyperX Cloud Stinger 2
https://images.kabum.com.br/produtos/fotos/sync_mirakl/483435/Notebook-Gamer-Acer-Nitro-5-AMD-Ryzen-7-16GB-RTX-3070TI-SSD-1TB-Tela-15-6-Full-HD-Windows-11-Home-An515-46-R5wf_1693482490_gg.jpg;Notebook Gamer Acer Nitro 5, AMD Ryzen 7, 16GB, RTX 3070TI, SSD 1TB, Tela 15.6 Full HD;Notebook Gamer Acer Nitro 5, AMD Ryzen 7, 16GB, RTX 3070TI, SSD 1TB, Tela 15.6 Full HD
https://images.kabum.com.br/produtos/fotos/172365/memoria-kingston-fury-beast-8gb-3200mhz-ddr4-cl16-preto-kf432c16bb-8_1626270523_gg.jpg;Memória Kingston Fury Beast, 8GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB/8;Memória Kingston Fury Beast, 8GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB/8
https://images.kabum.com.br/produtos/fotos/369658/fonte-msi-mag-a650bn-atx-650w-80-plus-bronze-pfc-ativo-entrada-bivolt-preto-306-7zp2b22-ce0_1665770996_gg.jpg;Fonte MSI MAG A650BN, ATX, 650W, 80 PLUS Bronze, PFC Ativo, Entrada Bivolt, Preto - 306-7ZP2B22-CE0;Fonte MSI MAG A650BN, ATX, 650W, 80 PLUS Bronze, PFC Ativo, Entrada Bivolt, Preto - 306-7ZP2B22-CE0
https://images.kabum.com.br/produtos/fotos/107333/mouse-gamer-sem-fio-logitech-g-pro-wireless-lightspeed-rgb-lightsync-ambidestro-6-botoes-programaveis-hero-25k-910-005271_1644501564_gg.jpg;Mouse Gamer Sem Fio Logitech G PRO Wireless LIGHTSPEED, RGB LIGHTSYNC, Ambidestro, 6 Botões Programáveis, HERO 25K - 910-005271;Mouse Gamer Sem Fio Logitech G PRO Wireless LIGHTSPEED, RGB LIGHTSYNC, Ambidestro, 6 Botões Programáveis, HERO 25K - 910-005271
https://images.kabum.com.br/produtos/fotos/462167/placa-de-video-rtx-4060-ti-gigabyte-gv-n406teagle-8gd-g10_1684841706_gg.jpg;Placa de Vídeo RTX 4060 Ti Eagle Gigabyte NVIDIA GeForce, 8 GB GDDR6, DLSS, Ray Tracing - GV-N406TEAGLE-8GD G10;Placa de Vídeo RTX 4060 Ti Eagle Gigabyte NVIDIA GeForce, 8 GB GDDR6, DLSS, Ray Tracing - GV-N406TEAGLE-8GD G10
https://images.kabum.com.br/produtos/fotos/134176/cadeira-gamer-tempest-husky-gaming-black-black-700_1619705487_gg.jpg;Cadeira Gamer Husky Gaming Tempest 700, Preto, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA074;Cadeira Gamer Husky Gaming Tempest 700, Preto, Com Almofadas, Descanso Para Pernas Retrátil, Reclinável - HGMA074
https://images.kabum.com.br/produtos/fotos/100672/placa-mae-asrock-b450m-steel-legend-amd-am4-matx-ddr4-90-mxb9y0-a0uayz_placa-mae-asrock-b450m-steel-legend-amd-am4-matx-ddr4-90-mxb9y0-a0uayz_1552586908_gg.jpg;Placa Mãe ASRock B450M Steel Legend, AMD AM4, mATX, DDR4;Placa Mãe ASRock B450M Steel Legend, AMD AM4, mATX, DDR4
https://images.kabum.com.br/produtos/fotos/148914/processador-intel-core-i5-11600kf-11-geracao-cache-12mb-3-9-ghz-4-9ghz-turbo-lga1200-bx8070811600kf_1615571294_gg.jpg;Processador Intel Core i5-11600KF 11ª Geração, 3.9 GHz (4.9GHz Turbo), Cache 12MB, Hexa Core, 16 Threads, LGA1200 - BX8070811600KF;Processador Intel Core i5-11600KF 11ª Geração, 3.9 GHz (4.9GHz Turbo), Cache 12MB, Hexa Core, 16 Threads, LGA1200 - BX8070811600KF
